Sample ID,Wash location,Sample type (Test/neg control),Collection site,Room type,SARS-CoV-2 (Detected/undetected),N1-Ct value,N1-quantity/reaction,N1-quantity/sampleX10,Batch number,Collection date,RNA extraction Date,Comments:,,,,,,,,,,,,,,,,
01_ICD1_R1,Lab,TEST,Open ward,Non-COVID general ward,Undetected,Undetermined,,,2,07/10/2020,,,,,,,,,,,,,,,,,,
02_ICD1_R2,-,TEST,Open ward,COVID ICU,Detected in 1 replicate,34.4,1.60,16.10,6,07/10/2020,,,,,,,,,,,,,,,,,,
03_SR1_R1,-,TEST,Open ward,COVID ICU,Undetected,Undetermined,,,5,12/10/2020,,,,,,,,,,,,,,,,,,
04_SR1_R2,,TEST,Open ward,COVID general ward,Undetected,Undetermined,,,3,12/10/2020,,,,,,,,,,,,,,,,,,
05_SR1_R3,,TEST,Cabin,COVID cabin,Undetected,Undetermined,,,3,12/10/2020,,,,,,,,,,,,,,,,,,
06_SH1_R1,,TEST,Open ward,Non-COVID general ward,Detected in 1 replicate,34.4,1.20,11.56,2,14/10/2020,,,,,,,,,,,,,,,,,,
07_SH1_R2,,TEST,Open ward,COVID general ward,Undetected,Undetermined,,,3,14/10/2020,,,,,,,,,,,,,,,,,,
08_SH1_R3,,TEST,Open ward,COVID general ward,Undetected,Undetermined,,,3,14/10/2020,,,,,,,,,,,,,,,,,,
09_KGH1_R1,,TEST,Open ward,COVID ICU,Detected in 1 replicate,33.9,1.70,16.93,2,18/10/2020,,,,,,,,,,,,,,,,,,
10_KGH1_R2,,TEST,Cabin,COVID cabin,Undetected,Undetermined,,,5,18/10/2020,,,,,,,,,,,,,,,,,,
11_KGH2_R3,,TEST,Open ward,COVID general ward,Undetected,Undetermined,,,3,21/10/2020,,,,,,,,,,,,,,,,,,
12_KGH2_R4,,TEST,Open ward,COVID isolation ward,Detected,34.6/34.6,1.00,9.54,2,21/10/2020,,,,,,,,,,,,,,,,,,
13_KGH2_R5,,TEST,Open ward,COVID isolation ward,Undetected,Undetermined,,,2,21/10/2020,,,,,,,,,,,,,,,,,,
14_KGH3_R6,,TEST,Cabin,COVID cabin,Undetected,Undetermined,,,4,28/10/2020,,,,,,,,,,,,,,,,,,
15_KGH3_R7,,TEST,Cabin,COVID cabin,Undetected,Undetermined,,,4,28/10/2020,,,,,,,,,,,,,,,,,,
16_KGH4_R8A,,TEST,Open ward,COVID general ward A,Detected in 1 replicate,37,2.9,29,7 (re-run),08/11/2020,,,,,,,,,,,,,,,,,,
17_KGH4_R8B,,TEST,Open ward,COVID general ward B,Detected in 1 replicate,36.1,5.4,54,7 (re-run),08/11/2020,,,,,,,,,,,,,,,,,,
18_KGH5_R9,,TEST,Cabin,COVID cabin,Detected,35.9/34.9,35.6,356,7,10/11/2020,,,,,,,,,,,,,,,,,,
19_KGH5_R10,,TEST,Cabin,COVID cabin,Undetected,Undetermined,,,7,10/11/2020,,,,,,,,,,,,,,,,,,
20_SQ1_R1,,TEST,Cabin,COVID cabin,Undetected,Undetermined,,,8,15/11/2020,,,,,,,,,,,,,,,,,,
21_SQ1_R2,,TEST,Cabin,COVID cabin,Undetected,Undetermined,,,8,15/11/2020,,,,,,,,,,,,,,,,,,
22_SQ2_R3,,TEST,Open ward,COVID ICU,Undetected,Undetermined,,,9,17/11/2020,,,,,,,,,,,,,,,,,,
23_SQ2_R4,,TEST,Open ward,COVID ICU,Undetected,Undetermined,,,9,17/11/2020,,,,,,,,,,,,,,,,,,
24_SQ3_R5,,TEST,Waiting Area,COVID Sample collection,Undetected,Undetermined,,,10,23/11/2020,,,,,,,,,,,,,,,,,,
25_SQ3_R6,,TEST,Cabin,COVID cabin,Undetected,Undetermined,,,10,23/11/2020,,,,,,,,,,,,,,,,,,
26_SQ3_R7,,TEST,Cabin,COVID cabin,Undetected,Undetermined,,,10,23/11/2020,,,,,,,,,,,,,,,,,,
27_SQ4_R8,,TEST,Cabin,COVID cabin,Undetected,Undetermined,,,10,25/11/2020,,,,,,,,,,,,,,,,,,
28_SQ4_R9,,TEST,Cabin,COVID cabin,Detected in 1 replicate,37.1,8.5,85.25,10,25/11/2020,,,,,,,,,,,,,,,,,,
29_SQ4_R10,,TEST,Cabin,COVID cabin,Undetected,Undetermined,,,10,25/11/2020,,,,,,,,,,,,,,,,,,
30_DMC1_R1,,TEST,Open ward,COVID general ward,Undetected,Undetermined,,,10,30/11/2020,,,,,,,,,,,,,,,,,,
31_DMC1_R2,,TEST,Open ward,COVID general ward,Undetected,Undetermined,,,10,30/11/2020,,,,,,,,,,,,,,,,,,
32_DMC1_R3,,TEST,Cabin,COVID cabin,Detected in 1 replicate,35,30.4,303.5,10,30/11/2020,,,,,,,,,,,,,,,,,,
33_DMC2_R4,,TEST,Open ward,COVID general ward,Undetected,Undetermined,,,11,,,,,,,,,,,,,,,,,,,
34_DMC2_R5,,TEST,Open ward,COVID general ward,Detected in 1 replicate,38.1,33.1,331,11,,,,,,,,,,,,,,,,,,,
35_DMC2_R6,,TEST,Open ward,COVID general ward,detected,38.6/38.2,29,290,11,,,,,,,,,,,,,,,,,,,
36_DMC2_R7,,TEST,Bathroom,COVID general ward,Undetected,Undetermined,,,11,,,,,,,,,,,,,,,,,,,
37_DMC3_R8,,TEST,Open ward,COVID general ward,Undetected,Undetermined,,,11,,,,,,,,,,,,,,,,,,,
38_DMC3_R9,,TEST,Bathroom,COVID general ward,Undetected,Undetermined,,,11,,,,,,,,,,,,,,,,,,,
39_DMC3_R10,,TEST,Open ward,COVID ICU,Undetected,Undetermined,,,11,,,,,,,,,,,,,,,,,,,
40_DMC4_R11,,TEST,OPD,Pediatric OPD,Detected in 1 replicate,37.4,50.2,502,11,,,,,,,,,,,,,,,,,,,
41_DMC4_R12,,TEST,OPD,Medicine OPD,detected,36.0/35.0,147.6,1476,11,,,,,,,,,,,,,,,,,,,
42_DMC4_R13,,TEST,OPD,"Resp Medicine, doctor's cabin",Undetected,Undetermined,,,11,,,,,,,,,,,,,,,,,,,
43_DMC5_R14,,TEST,OPD,Cardiology booth,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
44_DMC5_R15,,TEST,Waiting Area,COVID Triage,Detected in 1 replicate,36.3,53.8,538,12,,,,,,,,,,,,,,,,,,,
45_DMC5_R16,,TEST,Bathroom,COVID ward hallway,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
46_DMC6_R17,,TEST,Open ward,COVID isolation ward,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
47_DMC6_R18,,TEST,Open ward,COVID isolation ward,Detected in 1 replicate,35.8,69.2,692,12,,,,,,,,,,,,,,,,,,,
48_DMC6_R19,,TEST,Open ward,COVID isolation ward,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
49_DMC6_R20,,TEST,Open ward,COVID isolation ward,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
50_MM1_R1,,TEST,Open ward,COVID ICU,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
51_MM1_R2,,TEST,Open ward,COVID ICU,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
52_MM1_R3,,TEST,Bathroom,COVID ICU,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
53_MM2_R4,,TEST,Open ward,COVID general ward,Detected in 1 replicate,36.2,55.8,558,12,,,,,,,,,,,,,,,,,,,
54_MM2_R5,,TEST,Open ward,COVID general ward,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
55_MM2_R6,,TEST,Bathroom,COVID general ward,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
ICD_n95,,N95,,,Detected in 1 replicate,33.6,3,30.41,6,,,"Doubtful , collected in the icddr lab",,,,,,,,,,,,,,,,
ICD_wash,,Wash,,,Undetected,Undetermined,,,6,,,,,,,,,,,,,,,,,,,
SRGH_W1-1,,Wash,,,Undetected,Undetermined,,,2,,,,,,,,,,,,,,,,,,,
SRGH_W1-2,,Wash,,,Undetected,Undetermined,,,3,,,,,,,,,,,,,,,,,,,
SRGH_W2-1,,Wash,,,Undetected,Undetermined,,,2,,,,,,,,,,,,,,,,,,,
SH_W1-1,,Wash,,,Undetected,Undetermined,,,2,,,,,,,,,,,,,,,,,,,
SH_W1-2,,Wash,,,Undetected,Undetermined,,,3,,,,,,,,,,,,,,,,,,,
SH_W2-1,,Wash,,,Undetected,Undetermined,,,2,,,,,,,,,,,,,,,,,,,
KGH1_W1-1,,wash,,,Undetected,Undetermined,,,5,,,,,,,,,,,,,,,,,,,
KGH1_n95,,N95,,,Undetected,Undetermined,,,5,,,,,,,,,,,,,,,,,,,
KGH1_n95,,N95,,,Undetected,Undetermined,,,5,,,,,,,,,,,,,,,,,,,
KGH2_W1-1,,Wash,,,Detected in 1 replicate,33.4,2.4,23.66,2,,,,,,,,,,,,,,,,,,,
KGH2_W1-2,,Wash,,,Undetected,Undetermined,,,2,,,,,,,,,,,,,,,,,,,
KGH2_n95,,N95,,,Detected in 1 replicate,34.4,1.2,11.6,2,,,,,,,,,,,,,,,,,,,
KGH4_W1-1,,Wash,,,Undetected,Undetermined,,,7,,,,,,,,,,,,,,,,,,,
KGH5_W1-1,,Wash,,,Undetected,Undetermined,,,7,,,,,,,,,,,,,,,,,,,
SQ1_W1-1,,Wash,,,Undetected,Undetermined,,,8,,,,,,,,,,,,,,,,,,,
SQ1_W2-1,,Wash,,,Detected in 1 replicate,36.91,6.57,65.7,8,,,,,,,,,,,,,,,,,,,
SQ2_W1-1,,Wash,,,Undetected,Undetermined,,,9,,,,,,,,,,,,,,,,,,,
SQ2_W2-1,,Wash,,,Undetected,Undetermined,,,9,,,,,,,,,,,,,,,,,,,
SQ3_W1-1,,Wash,,,Undetected,Undetermined,,,10,,,,,,,,,,,,,,,,,,,
SQ3_W2-1,,Wash,,,Undetected,Undetermined,,,10,,,,,,,,,,,,,,,,,,,
SQ3_W1-2,,Wash,,,Detected in 1 replicate,36.1,15.3,153,10,,,,,,,,,,,,,,,,,,,
SQ4_W1-1,,Wash,,,Undetected,Undetermined,,,10,,,,,,,,,,,,,,,,,,,
SQ4_W1-2,,Wash,,,Undetected,Undetermined,,,10,,,,,,,,,,,,,,,,,,,
SQ4_W2-1,,Wash,,,Undetected,Undetermined,,,10,,,,,,,,,,,,,,,,,,,
DMC1_W1-1,,Wash,,,Undetected,Undetermined,,,10,,,,,,,,,,,,,,,,,,,
DMC1_W1-2,,Wash,,,Undetected,Undetermined,,,10,,,,,,,,,,,,,,,,,,,
DMC1_W2-1,,Wash,,,Undetected,Undetermined,,,10,,,,,,,,,,,,,,,,,,,
DMC2_wash,,Wash,,,Undetected,Undetermined,,,11,,,,,,,,,,,,,,,,,,,
DMC3_wash,,Wash,,,Detected in 1 replicate,39.6,14.2,142,11,,,,,,,,,,,,,,,,,,,
DMC4_wash,,Wash,,,Undetected,Undetermined,,,11,,,,,,,,,,,,,,,,,,,
DMC5_wash,,Wash,,,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
DMC6_wash,,Wash,,,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
MM1_wash,,Wash,,,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
MM2_wash,,Wash,,,Undetected,Undetermined,,,12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
